Number_of_Nodes,Processes_per_Node,Working_Set_Size,Working_Set_Size_(Bytes),Message_Size_(Bytes),Message_Size,Total_Processes,Message_Size_Mul.,Number_of_Messages,Computational_Load_Type,Phase,xsolve_timer,xcomm_timer,ysolve_timer,ycomm_timer,zsolve_timer,zcomm_timer,size_q,BT_ID,row_id
64,7,76.0 MiB,79730127.72351618,538395.3719008265,525.8 KiB,484,1,1,Memory_Bound,FE,214.4869,129.3593,292.8252,63.7603,291.1572,48.6905,22,7110160154260790563,5730760898158475529
64,7,38.0 MiB,39865063.86175809,89732.56198347108,87.6 KiB,484,1,1,Memory_Bound,BS,214.4869,129.3593,292.8252,63.7603,291.1572,48.6905,22,7110160154260790563,-6708562352488731434
64,9,51.8 MiB,54333849.599999994,419337.6,409.5 KiB,625,1,1,Memory_Bound,FE,165.7234,98.1064,254.2282,35.625,258.5238,35.3337,25,-3282836582124263128,-5017364727830596526
64,9,25.9 MiB,27166924.799999997,69889.59999999999,68.3 KiB,625,1,1,Memory_Bound,BS,165.7234,98.1064,254.2282,35.625,258.5238,35.3337,25,-3282836582124263128,7984250963992296794
64,14,30.0 MiB,31443200.0,294000.0,287.1 KiB,900,1,1,Memory_Bound,FE,116.6198,25.7369,180.9425,28.3698,150.6885,31.5812,30,-1257981146432110801,738953752305795182
64,14,15.0 MiB,15721600.0,49000.0,47.9 KiB,900,1,1,Memory_Bound,BS,116.6198,25.7369,180.9425,28.3698,150.6885,31.5812,30,-1257981146432110801,3187542560423489363
64,18,20.6 MiB,21600000.0,230640.0,225.2 KiB,1156,1,1,Memory_Bound,FE,91.4663,27.4288,125.2365,18.3439,127.1995,20.9699,34,1248384643243341338,9050926963489818519
64,18,10.3 MiB,10800000.0,38440.0,37.5 KiB,1156,1,1,Memory_Bound,BS,91.4663,27.4288,125.2365,18.3439,127.1995,20.9699,34,1248384643243341338,-6033294596891263913
4,4,809.6 MiB,848966400.0,2546160.0,2.4 MiB,16,1,1,Memory_Bound,FE,381.133,12.1703,513.2654,12.3729,465.434,12.6312,4,-5915796916122256999,-684353684972767523
4,4,404.8 MiB,424483200.0,424360.0,414.4 KiB,16,1,1,Memory_Bound,BS,381.133,12.1703,513.2654,12.3729,465.434,12.6312,4,-5915796916122256999,-8299660710301632646
4,9,239.9 MiB,251545600.0,1142640.0,1.1 MiB,36,1,1,Memory_Bound,FE,177.7414,41.2405,270.9958,63.2311,244.6628,27.1392,6,-2521011170486175724,-442328282327564472
4,9,119.9 MiB,125772800.0,190440.0,186.0 KiB,36,1,1,Memory_Bound,BS,177.7414,41.2405,270.9958,63.2311,244.6628,27.1392,6,-2521011170486175724,6994603619813242408
4,16,101.2 MiB,106120800.0,648960.0,633.8 KiB,64,1,1,Memory_Bound,FE,101.7639,57.2128,156.6332,20.289,134.5352,16.6841,8,2770442627820404738,-9133733564528064806
4,16,50.6 MiB,53060400.0,108160.0,105.6 KiB,64,1,1,Memory_Bound,BS,101.7639,57.2128,156.6332,20.289,134.5352,16.6841,8,2770442627820404738,3624696757093328379
32,7,239.9 MiB,251545600.0,1142640.0,1.1 MiB,225,1,1,Memory_Bound,FE,471.3938,379.7096,702.3431,399.3532,636.2311,127.5591,15,7397141577973375173,-1827874354881622928
32,7,119.9 MiB,125772800.0,190440.0,186.0 KiB,225,1,1,Memory_Bound,BS,471.3938,379.7096,702.3431,399.3532,636.2311,127.5591,15,7397141577973375173,-8799317812960538299
32,10,138.8 MiB,145570370.37037036,798106.6666666666,779.4 KiB,324,1,1,Memory_Bound,FE,317.8648,181.1955,485.3305,70.412,501.343,70.2807,18,5188312315275240626,-2302342359685041791
32,10,69.4 MiB,72785185.18518518,133017.77777777778,129.9 KiB,324,1,1,Memory_Bound,BS,317.8648,181.1955,485.3305,70.412,501.343,70.2807,18,5188312315275240626,1162045491298540659
32,12,101.2 MiB,106120800.0,648960.0,633.8 KiB,400,1,1,Memory_Bound,FE,257.4348,12.3968,394.8635,25.0701,336.1077,20.7699,20,396830904110218673,887190085748025396
32,12,50.6 MiB,53060400.0,108160.0,105.6 KiB,400,1,1,Memory_Bound,BS,257.4348,12.3968,394.8635,25.0701,336.1077,20.7699,20,396830904110218673,-3605720033348902542
32,15,76.0 MiB,79730127.72351618,538395.3719008265,525.8 KiB,484,1,1,Memory_Bound,FE,212.7116,129.723,292.281,51.7702,290.694,45.1254,22,-945702336840815,5748054667972638178
32,15,38.0 MiB,39865063.86175809,89732.56198347108,87.6 KiB,484,1,1,Memory_Bound,BS,212.7116,129.723,292.281,51.7702,290.694,45.1254,22,-945702336840815,-5563629980562709586
32,19,51.8 MiB,54333849.599999994,419337.6,409.5 KiB,625,1,1,Memory_Bound,FE,166.2556,96.7164,253.6561,34.7174,260.2203,45.8755,25,7476354317860107661,-194257431364433278
32,19,25.9 MiB,27166924.799999997,69889.59999999999,68.3 KiB,625,1,1,Memory_Bound,BS,166.2556,96.7164,253.6561,34.7174,260.2203,45.8755,25,7476354317860107661,5745329346142576402
16,7,38.9 MiB,40821825.39444028,348220.16528925626,340.1 KiB,121,1,1,Memory_Bound,FE,54.9765,32.7465,80.4558,11.593,82.2605,10.6759,11,-5873230060623349610,8992765391515513611
16,7,19.5 MiB,20410912.69722014,58036.69421487604,56.7 KiB,121,1,1,Memory_Bound,BS,54.9765,32.7465,80.4558,11.593,82.2605,10.6759,11,-5873230060623349610,8354200447199550037
16,10,23.6 MiB,24730928.356850248,251703.1952662722,245.8 KiB,169,1,1,Memory_Bound,FE,39.3589,20.2344,57.7552,9.81,59.5291,10.5929,13,-4933634543462254419,5185978710046019724
16,10,11.8 MiB,12365464.178425124,41950.5325443787,41.0 KiB,169,1,1,Memory_Bound,BS,39.3589,20.2344,57.7552,9.81,59.5291,10.5929,13,-4933634543462254419,-4450187228447244445
16,14,15.4 MiB,16098918.399999999,190857.6,186.4 KiB,225,1,1,Memory_Bound,FE,29.5901,11.0181,50.0578,9.4531,36.3861,11.2593,15,-3518389094100770387,-6404612164989747395
16,14,7.7 MiB,8049459.199999999,31809.6,31.1 KiB,225,1,1,Memory_Bound,BS,29.5901,11.0181,50.0578,9.4531,36.3861,11.2593,15,-3518389094100770387,-8923199064345471524
16,18,10.5 MiB,11059200.0,150000.0,146.5 KiB,289,1,1,Memory_Bound,FE,23.0506,5.3103,29.6248,8.2727,34.1349,8.4111,17,7120788349539395825,-4188020329390468813
16,18,5.3 MiB,5529600.0,25000.0,24.4 KiB,289,1,1,Memory_Bound,BS,23.0506,5.3103,29.6248,8.2727,34.1349,8.4111,17,7120788349539395825,-3759908459623444476
8,8,101.2 MiB,106120800.0,648960.0,633.8 KiB,64,1,1,Memory_Bound,FE,101.8684,57.174,156.8609,21.2485,134.3118,17.479,8,2246435237228731151,926044245343509440
8,8,50.6 MiB,53060400.0,108160.0,105.6 KiB,64,1,1,Memory_Bound,BS,101.8684,57.174,156.8609,21.2485,134.3118,17.479,8,2246435237228731151,7157785759410942770
