,Number_of_Nodes,Processes_per_Node,Working_Set_Size,Working_Set_Size_(Bytes),Message_Size_(Bytes),Message_Size,Total_Processes,Message_Size_Mul.,Number_of_Messages,Computational_Load_Type,Phase,xsolve_timer,xcomm_timer,ysolve_timer,ycomm_timer,zsolve_timer,zcomm_timer,size_q,BT_ID,row_id,Measured_Communication_Time,RF_Model_Communication_Time,Gradient_Boosting_Model_Communication_Time,Tuned_Gradient_Boosting_Model_Communication_Time,Tuned Gradient Boosting Model SUM
0,64,7,76.0 MiB,79730127.72351618,538395.3719008265,525.8 KiB,484,1,1,Memory_Bound,FE,214.4869,129.3593,292.8252,63.7603,291.1572,48.6905,22,7110160154260790563,5730760898158475529,0.7526359272727272,0.5125952363014221,0.49195584654808044,0.5542029738426208,0.6347977966070175
1,64,7,38.0 MiB,39865063.86175809,89732.56198347108,87.6 KiB,484,1,1,Memory_Bound,BS,214.4869,129.3593,292.8252,63.7603,291.1572,48.6905,22,7110160154260790563,-6708562352488731434,0.7526359272727272,0.16341179609298706,0.14284195005893707,0.11067995429039001,0.6347977966070175
2,64,9,51.8 MiB,54333849.6,419337.6,409.5 KiB,625,1,1,Memory_Bound,FE,165.7234,98.1064,254.2282,35.625,258.5238,35.3337,25,-3282836582124263128,-5017364727830596526,0.502304768,0.4900124669075012,0.6080132722854614,0.3922336995601654,0.7074971571564674
3,64,9,25.9 MiB,27166924.8,69889.59999999999,68.3 KiB,625,1,1,Memory_Bound,BS,165.7234,98.1064,254.2282,35.625,258.5238,35.3337,25,-3282836582124263128,7984250963992296794,0.502304768,0.11677396297454834,0.09948388487100601,0.08718720078468323,0.7074971571564674
4,64,14,30.0 MiB,31443200.0,294000.0,287.1 KiB,900,1,1,Memory_Bound,FE,116.6198,25.7369,180.9425,28.3698,150.6885,31.5812,30,-1257981146432110801,738953752305795182,0.10981077333333333,1.0368518829345703,0.736674964427948,0.45698919892311096,0.9375317990779877
5,64,14,15.0 MiB,15721600.0,49000.0,47.9 KiB,900,1,1,Memory_Bound,BS,116.6198,25.7369,180.9425,28.3698,150.6885,31.5812,30,-1257981146432110801,3187542560423489363,0.10981077333333333,0.14065787196159363,0.20085683465003967,0.09307229518890381,0.9375317990779877
6,64,18,20.6 MiB,21600000.0,230640.0,225.2 KiB,1156,1,1,Memory_Bound,FE,91.4663,27.4288,125.2365,18.3439,127.1995,20.9699,34,1248384643243341338,9050926963489818519,0.10326136470588235,0.6190908551216125,0.6440119743347168,0.4790830612182617,0.9495182931423187
7,64,18,10.3 MiB,10800000.0,38440.0,37.5 KiB,1156,1,1,Memory_Bound,BS,91.4663,27.4288,125.2365,18.3439,127.1995,20.9699,34,1248384643243341338,-6033294596891263913,0.10326136470588235,0.24756425619125366,0.30550631880760193,0.18679173290729523,0.9495182931423187
10,4,9,239.9 MiB,251545600.0,1142640.0,1.1 MiB,36,1,1,Memory_Bound,FE,177.7414,41.2405,270.9958,63.2311,244.6628,27.1392,6,-2521011170486175724,-442328282327564472,0.8797973333333333,0.890088677406311,0.3050934076309204,1.3006517887115479,0.42394011467695236
11,4,9,119.9 MiB,125772800.0,190440.0,186.0 KiB,36,1,1,Memory_Bound,BS,177.7414,41.2405,270.9958,63.2311,244.6628,27.1392,6,-2521011170486175724,6994603619813242408,0.8797973333333333,0.35578587651252747,0.11884670704603195,0.04638814926147461,0.42394011467695236
